Name on Blind,Industry,,,,
Meta,Technology,,,,
IBM,Consulting,,,,
Amazon,Ecommerce,,,,
Wayfair,Ecommerce,,,,
Microsoft,Technology,,,,
American-Express,Finance,,,,
Stripe,Finance,,,,
PwC,Consulting,,,,
Goldman-Sachs,Finance,,,,
EY,Consulting,,,,
Deloitte,Consulting,,,,
Accenture,Consulting,,,,
ByteDance,Technology,,,,
Infosys,Consulting,,,,
Oracle,Technology,,,,
Walmart,Ecommerce,,,,
Capital-One,Finance,,,,
Morgan-Stanley,Finance,,,,
Indeed,Technology,,,,
Google,Technology,,,,
JPMorgan,Finance,,,,
Dell,Technology,,,,
Expedia,Ecommerce,,,,
Target,Ecommerce,,,,
KPMG,Consulting,,,,
McKinsey,Consulting,,,,
Slalom-Consulting,Consulting,,,,
Broadcom,Technology,,,,
Informatica,Consulting,,,,
ZS,Consulting,,,,
Barclays-Investment-Bank,Finance,,,,
BCG,Consulting,,,,
Charles-Schwab,Finance,,,,
Gartner,Consulting,,,,
CGI,Consulting,,,,"Data Cleaning - Tokenization, Lemmatization, Stopwords"
Prudential-Financial,Finance,,,,
Bain&Company,Consulting,,,,Word Frequency - To identofy features
T-Mobile,Technology,,,,"Lift - Within company across roles, Across sectors, Across roles, Across companies"
Fannie-Mae,Finance,,,,Pro and COn separate
Lending-Club,Finance,,,,
Allstate-Financial-Services,Finance,,,,
PNC,Finance,,,,
Silicon-Valley-Bank,Finance,,,,
Truist,Finance,,,,
RBC-Capital-Markets,Finance,,,,
Lenovo,Technology,,,,
Vmware,Technology,,,,
Salesforce,Technology,,,,
Splunk,Technology,,,,
Adobe,Technology,,,,
AT & T ,Technology,,,,
Uber,Technology,,,,
Honeywell,Technology,,,,
Intel,Technology,,,,
Verizon,Technology,,,,
Twitter,Technology,,,,
HP,Technology,,,,
Tesla,Technology,,,,
LinkedIn,Technology,,,,
Mastercard,Technology,,,,
Zoom,Technology,,,,
NVIDIA,Technology,,,,
Boeing,Technology,,,,
